RGIId,lon,lat,do_we_have_an_observation_in_middle_fifth,Frontal_ablation_2000_to_2010_gt_per_yr_mean,Frontal_ablation_2000_to_2010_gt_per_yr_mean_err,Frontal_ablation_2010_to_2020_gt_per_yr_mean,Frontal_ablation_2010_to_2020_gt_per_yr_mean_err,Number_of_children
RGI60-05.10541,-51.53292449,82.31316246,0,0.003984384,0.00226068,0.00075766,0.000546158,0
RGI60-05.10544,-51.51054962,82.26636273,0,0.007440469,0.004185391,0.001993269,0.001318828,0
RGI60-05.10559,-48.20499924,82.53645917,0,0.001959643,0.001256151,0.004281848,0.001966284,0
RGI60-05.10562,-48.07724789,82.46290731,0,0.003548324,0.001616677,0.00086116,0.000826665,0
RGI60-05.10566,-47.90871096,82.41689326,0,0.000374868,0.000335128,0.000153914,0.000208027,0
RGI60-05.10598,-45.98733269,82.70730758,0,0.000705845,0.000531441,0.000676612,0.000530104,0
RGI60-05.10599,-45.58964549,82.70056351,0,7.52E-05,8.12E-05,0.000428213,0.00029457,0
RGI60-05.10605,-46.24384298,82.65730315,0,0.000654042,0.0004768,0.000469925,0.00037183,0
RGI60-05.10607,-45.39047548,83.02307705,0,0.031630306,0.015596774,0.001103595,0.001366056,0
RGI60-05.10609,-44.52631161,82.70452416,0,0.002483675,0.002676798,0.007328159,0.003289138,0
RGI60-05.10610,-43.77721069,82.70621398,0,0.001002057,0.000937942,0.001683887,0.001472256,0
RGI60-05.10615,-45.60695257,82.58261182,0,0.02354467,0.013440832,0.013276431,0.012209018,0
RGI60-05.10617,-45.15802003,82.48147064,0,0.063509978,0.011066075,0.070281183,0.010865994,0
RGI60-05.10627,-42.49062163,82.47001128,0,0.001945313,0.00116235,0.004206855,0.001619783,0
RGI60-05.10629,-42.17352129,82.34674267,0,0.03694932,0.031062224,0.003674266,0.003728695,0
RGI60-05.10633,-44.41847137,82.31520446,0,0.000854272,0.00070075,0.001135117,0.000684577,0
RGI60-05.10634,-44.20595378,82.28584654,0,0.041968759,0.02012268,0.089430519,0.040337078,0
RGI60-05.10639,-43.25360052,82.14372364,0,0.004976001,0.00225146,0.004078397,0.001761402,0
RGI60-05.10689,-35.68455997,82.83630993,0,0.00031343,0.000449599,0.000683753,0.00098874,0
RGI60-05.10700,-35.7589398,82.71634891,0,0.008050073,0.00600628,0.006292486,0.004358163,0
RGI60-05.10712,-38.1554059,82.99680051,0,0.000583892,0.000525376,0.000252685,0.000221226,0
RGI60-05.10713,-39.2911104,82.98147887,0,0.000599617,0.000980348,0.004340284,0.002731751,0
RGI60-05.10718,-40.72433802,82.91962071,0,0.000235999,0.000237229,0.000613085,0.000676796,0
RGI60-05.10724,-39.77573728,82.86852722,0,0.001065618,0.001267901,0.001785149,0.001928111,0
RGI60-05.10733,-40.34423644,82.58628062,0,0.008484865,0.004264062,0.009659996,0.00470188,0
RGI60-05.10734,-40.43906861,82.62587955,0,0.000869128,0.001060166,0.003749504,0.001669096,0
RGI60-05.10736,-40.31354791,82.55516501,0,0.01199368,0.006985298,0.006310721,0.002925351,0
RGI60-05.10738,-39.68932966,82.825095,0,0.000127433,0.00024977,0.000203987,0.000329122,0
RGI60-05.10743,-41.57991111,82.72793973,0,0.014089935,0.008000079,0.018527374,0.008376913,0
RGI60-05.10749,-38.68649071,82.80078608,0,0.036485829,0.038612581,0.005689234,0.005617447,0
RGI60-05.10750,-41.01981405,82.67804784,0,0.001296681,0.000634655,0.000710432,0.000702985,0
RGI60-05.10752,-39.57156089,82.78575542,0,0.002374794,0.001939699,0.008724112,0.008974416,0
RGI60-05.10753,-40.86531592,82.68138341,0,0.001081259,0.000942696,0.004714444,0.00179925,0
RGI60-05.10754,-40.57053262,82.6637441,0,0.000582252,0.000445396,0.000529203,0.000414873,0
RGI60-05.10755,-40.37691691,82.48304354,0,0.00118184,0.000521755,0.000402262,0.000270141,0
RGI60-05.10766,-40.02246978,82.42844148,0,0.024196946,0.012232194,0.013495184,0.006889443,0
RGI60-05.10782,-44.80992262,83.08561086,0,0.000146522,0.000179614,0.000303574,0.000390211,0
RGI60-05.10784,-44.70064803,83.08107704,0,4.31E-05,8.87E-05,5.86E-05,8.12E-05,0
RGI60-05.10792,-45.35334771,82.94062608,0,0.001829347,0.001761906,0.002736612,0.001985469,0
RGI60-05.10797,-44.86769831,82.89341109,0,0.000464991,0.000506576,0.000536051,0.000513173,0
RGI60-05.10844,-31.16179911,83.08704305,0,0.001370565,0.00123887,0.003853158,0.002463289,0
RGI60-05.10862,-32.06894947,82.93023642,0,0.002408922,0.001814094,0.001136197,0.001210665,0
RGI60-05.10884,-38.25023807,83.48972383,0,0.006720043,0.003702481,0.000696425,0.000905294,0
RGI60-05.10887,-34.59571052,83.48365725,0,0.013904018,0.008137681,0.004626366,0.002727061,0
RGI60-05.10890,-38.73262031,83.4832782,0,5.94E-05,5.94E-05,0.04164158,0.021030362,0
RGI60-05.10892,-36.93714383,83.3647962,0,0.006860827,0.003583031,0.002278104,0.001843002,0
RGI60-05.10911,-40.21111328,83.39497736,0,0.003097229,0.0024883,7.26E-05,7.26E-05,0
RGI60-05.10937,-38.53417999,83.52830786,0,0.000932623,0.000695225,0.001505278,0.001147544,0
RGI60-05.10938,-37.40042361,83.56809979,0,0.009700359,0.004896121,0.001407607,0.001044528,0
RGI60-05.10945,-37.19816282,83.57610897,0,0.000282478,0.00029067,0.003717976,0.002468255,0
RGI60-05.10951,-36.01532119,83.54564515,0,0.038802011,0.019727764,0.009672257,0.003955609,0
RGI60-05.10956,-39.60313092,83.39113826,0,0.002300207,0.001489335,0.000136718,0.000706249,0
RGI60-05.10961,-37.30910248,83.37747527,0,0.000389258,0.000378814,0.000927622,0.000743013,0
RGI60-05.10964,-37.56200233,83.15238555,0,0.002476362,0.001259548,0.005633758,0.002812539,0
RGI60-05.10966,-39.52185556,83.27479536,0,0.000625734,0.000492257,0.000338164,0.000553333,0
RGI60-05.10971,-38.6190536,83.19549213,0,0.00261148,0.002658614,0.001011627,0.000884985,0
RGI60-05.10973,-38.4546658,83.17698246,0,0.000356182,0.000356182,0.003545579,0.002514095,0
RGI60-05.10983,-38.80335758,83.37934602,0,0.054148674,0.012043098,0.20065759,0.059889488,0
RGI60-05.10984,-37.63703604,83.44204014,0,0.003395979,0.002032217,0.001865226,0.001494962,0
RGI60-05.10992,-39.38037369,83.30537835,0,0.016682044,0.008468216,0.004599023,0.002675974,0
RGI60-05.10997,-35.21761898,83.58875167,0,2.87E-05,4.66E-05,0.000252454,0.000534194,0
RGI60-05.10998,-36.80513298,83.58732206,0,0.000174419,0.000174419,0.011730331,0.006319899,0
RGI60-05.10999,-37.15913666,83.47307537,0,0.000256744,0.000256744,0.00400498,0.00198757,0
RGI60-05.11001,-36.98385019,83.43197413,0,0.175015726,0.11254441,0.025256953,0.019177594,0
RGI60-05.11026,-28.80549624,83.46543438,0,0.002252583,0.001556179,0.001088324,0.001284005,0
RGI60-05.11158,-37.07851872,65.64140842,0,0.003009491,0.001777249,0.00246272,0.001212021,0
RGI60-05.11359,-37.43844592,65.94774293,0,0.000825318,0.000835059,0.000341645,0.000271535,0
RGI60-05.11831,-35.74589083,66.26259731,0,0.000277539,0.000313757,0.00060847,0.000420385,0
RGI60-05.12079,-34.51514806,66.68030948,0,0.001956851,0.001292714,0.002700032,0.001394951,0
RGI60-05.12157,-33.95607083,66.82558818,0,0.001569593,0.0012723,0.001940441,0.000843038,0
RGI60-05.12160,-33.98826116,66.8310074,0,0.000305011,0.000597384,0.001529252,0.000742774,0
RGI60-05.12169,-34.0861574,66.90098862,0,0.00075377,0.000658692,0.001018981,0.000559787,0
RGI60-05.12199,-33.8055993,67.00349184,0,0.001158238,0.000577165,0.000355815,0.00042482,0
RGI60-05.12210,-33.98188259,66.95778035,0,8.70E-05,0.000258189,0.000423695,0.000221181,0
RGI60-05.12212,-34.13680354,66.72878434,0,0.001331319,0.000721297,0.001217276,0.00055444,0
RGI60-05.12232,-33.60462069,67.33878618,0,0.067551814,0.013688153,0.073570135,0.00349801,0
RGI60-05.12234,-33.64965647,67.3692356,0,0.005778416,0.001563232,0.003231116,0.000957886,0
RGI60-05.12236,-33.498462,67.17853876,0,0.002857613,0.001285632,0.002330017,0.000939709,0
RGI60-05.12242,-33.51626342,67.23377208,0,0.000864196,0.00109561,0.000360904,0.00042026,0
RGI60-05.12245,-33.61907805,67.26185477,0,0.003530277,0.00195026,0.005941132,0.001846712,0
RGI60-05.12246,-33.46539219,67.20417443,0,0.005046143,0.003030433,0.004239729,0.002148429,0
RGI60-05.12252,-33.55858902,67.23577843,0,0.004431928,0.001045702,0.001938568,0.000467452,0
RGI60-05.12262,-33.51529367,67.27526964,0,0.011370551,0.003834962,0.009880909,0.003047787,0
RGI60-05.12265,-33.54813829,67.31570661,0,0.018900098,0.004298133,0.013484491,0.002424551,0
RGI60-05.12269,-33.37727659,67.34736811,0,0.001134642,0.001165275,0.001330301,0.00046076,0
RGI60-05.12296,-33.3656253,67.48400151,0,0.00338099,0.002607099,0.003491773,0.001361599,0
RGI60-05.12302,-33.30041353,67.69523143,0,0.000642431,0.000667996,0.000840018,0.000459765,0
RGI60-05.12304,-33.31085589,67.70418869,0,0.000685539,0.000781785,0.000287064,0.000344969,0
RGI60-05.12306,-33.32792552,67.71302096,0,0.000569074,0.000962066,0.001057929,0.000451728,0
RGI60-05.12313,-33.35703398,67.72718999,0,0.000727691,0.001128596,0.000286761,0.000309467,0
RGI60-05.12344,-32.56315497,67.80679422,1,0.004207962,0.004042414,0.003178994,0.001488111,0
RGI60-05.12370,-31.6134991,68.09714616,0,0.000733966,0.000493175,0.00050818,0.000229747,0
RGI60-05.12385,-32.26678743,68.18318087,0,0.001122322,0.001069698,0.001100054,0.000543247,0
RGI60-05.12394,-32.31764587,68.19424851,0,0.000828469,0.000651352,0.000432915,0.000372555,0
RGI60-05.12399,-32.34828138,68.19925687,0,0.000354245,0.00068512,8.66E-05,0.000394845,0
RGI60-05.12414,-31.61084332,68.12627313,0,0.001095864,0.00113193,0.000343803,0.000511183,0
RGI60-05.12420,-31.27649998,68.11255397,0,0.000839807,0.000747533,0.000594423,0.000341365,0
RGI60-05.12516,-30.47466851,68.12891809,0,0.00023083,0.000203606,0.000111727,9.30E-05,0
RGI60-05.12518,-30.47857643,68.13203756,0,9.52E-05,0.000128667,4.15E-05,6.84E-05,0
RGI60-05.12525,-30.95518813,68.09897112,0,0.000223048,0.000331929,6.31E-05,6.18E-05,0
