,lon,lat,do_we_have_an_observation_in_middle_fifth,Frontal_ablation_2000_to_2010_gt_per_yr_mean,Frontal_ablation_2000_to_2010_gt_per_yr_mean_err,Frontal_ablation_2010_to_2020_gt_per_yr_mean,Frontal_ablation_2010_to_2020_gt_per_yr_mean_err,RGIId,Number_of_children
359,-51.72776285232429,66.06417213257649,,0.0005235365633435089,0.0005352204192158122,0.0003499536146770552,0.00030293824227081625,RGI60-05.00452,
360,-51.71560875853674,65.96952173776808,,0.0001686306805446745,0.00016469808836373632,3.870044832123866e-05,5.0035938801154624e-05,RGI60-05.00457,
361,-51.676818598452456,65.92701215463357,,0.025154210196237873,0.01151305311203421,0.009715030291894874,0.005237751658519186,RGI60-05.00460,
362,-52.17124965359489,65.9997385390449,,0.0005605398366863143,0.000578461859466594,0.00025913729927558136,0.00031621227373382913,RGI60-05.00798,
363,-52.46947001383676,65.99926546837673,,0.011207123763593342,0.006720912832100085,0.001806329853307494,0.0036393236827952594,RGI60-05.00800,
364,-51.735001078842544,66.09759585197695,,0.023371147242474945,0.008810276712963043,0.0368372613516029,0.002367283286027285,RGI60-05.00808,
365,-51.85713271950293,66.06043651005149,,0.0006778665082269823,0.0007667738107738136,0.00015189650906563567,0.00045594704143838495,RGI60-05.00814,
366,-52.823091409020364,66.00966782688631,,0.005518501977097956,0.0028967634614403474,0.02398999155958928,0.022305145949563107,RGI60-05.00817,
367,-52.24466497649065,65.96394551681325,,0.0007750536907977948,0.0010118578718103233,0.00022681019267191968,0.00025739991611297525,RGI60-05.00818,
368,-51.98051360790019,66.03338014053794,,0.0003323775313786737,0.0003397665850615545,7.708701194888019e-05,0.00012528718746375057,RGI60-05.00822,
369,-52.99629273258496,66.01140944960903,,0.0005181542602634006,0.0004629811122380561,0.0002757858525770211,0.00026757447234182014,RGI60-05.00854,
370,-51.36423542254473,71.1407974299558,,9.12528785266719e-05,8.430397099033674e-05,0.0,0.0,RGI60-05.02422,
371,-52.567699369745,71.33657317047629,,0.00017145406503090292,0.00018581458086306977,0.00016159401164384676,0.00018010915669158453,RGI60-05.02500,
372,-52.70074857855574,71.35532650265255,,0.0001991019245873308,0.00019640896248794264,0.0,0.0,RGI60-05.02516,
373,-52.00237418797791,71.41147276493538,,0.00013935395091599947,0.0001512137965641911,5.4837993993973485e-05,8.02821888487565e-05,RGI60-05.02526,
374,-51.92876285870004,71.42088921393241,,0.00022950237291228972,0.00023087459290347986,6.101868684042449e-05,7.729783202883221e-05,RGI60-05.02527,
